PropertyID,CentralAir,BsmtFullBath,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BsmtHalfBath,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,Electrical,Heating,HeatingQC
31,Y,0,1228,0,0,1228,1,1,0,1,Gd,6,Typ,0,No,SBrkr,GasA,Gd
32,Y,0,1234,0,0,1234,2,0,0,1,Gd,7,Typ,0,No,SBrkr,GasA,Ex
33,Y,0,1700,0,0,1700,1,1,1,1,Gd,6,Typ,1,Gd,SBrkr,GasA,Gd
34,Y,1,1561,0,0,1561,2,0,0,1,Ex,6,Typ,1,Gd,SBrkr,GasA,Ex
35,Y,0,1132,1320,0,2452,3,1,0,1,Gd,9,Typ,1,Gd,SBrkr,GasA,Ex
36,Y,0,1097,0,0,1097,1,1,0,1,TA,6,Typ,0,No,SBrkr,GasA,Ex
37,Y,0,1297,0,0,1297,1,0,1,1,TA,5,Typ,1,TA,SBrkr,GasA,Gd
38,Y,1,1057,0,0,1057,1,0,0,1,Gd,5,Typ,0,No,SBrkr,GasA,TA
39,N,0,1152,0,0,1152,2,0,0,2,Fa,6,Typ,0,No,FuseP,GasA,TA
40,Y,0,1324,0,0,1324,2,0,0,1,TA,6,Typ,1,TA,SBrkr,GasA,Ex
41,Y,0,1328,0,0,1328,1,1,1,1,TA,5,Typ,2,Gd,SBrkr,GasA,Gd
42,Y,1,884,0,0,884,1,0,0,1,Gd,5,Typ,0,No,SBrkr,GasA,Gd
43,Y,1,938,0,0,938,1,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,TA
44,Y,1,1150,0,0,1150,1,0,0,1,TA,6,Typ,0,No,FuseA,GasA,Ex
45,Y,1,1752,0,0,1752,2,0,0,1,Ex,6,Typ,1,Gd,SBrkr,GasA,Ex
46,Y,1,1518,631,0,2149,1,1,0,1,Gd,6,Typ,1,Ex,SBrkr,GasA,Ex
47,Y,0,1656,0,0,1656,2,0,0,1,Gd,7,Typ,0,No,SBrkr,GasA,Ex
48,Y,0,736,716,0,1452,2,0,0,3,TA,8,Typ,0,No,SBrkr,GasA,Gd
49,Y,1,955,0,0,955,1,0,0,1,TA,6,Typ,0,No,SBrkr,GasA,Ex
50,Y,0,794,676,0,1470,2,0,1,1,TA,6,Typ,0,No,SBrkr,GasA,Gd
51,Y,0,816,0,360,1176,1,0,0,1,TA,6,Typ,1,Gd,SBrkr,GasA,TA
52,N,1,816,0,0,816,1,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,TA
53,Y,2,1842,0,0,1842,0,1,0,1,Gd,5,Typ,1,Gd,SBrkr,GasA,Gd
54,Y,0,1360,0,0,1360,1,0,0,1,TA,6,Min1,1,TA,SBrkr,GasA,TA
55,Y,0,1425,0,0,1425,2,0,0,1,TA,7,Typ,1,Gd,SBrkr,GasA,Gd
56,Y,1,983,756,0,1739,2,1,0,1,Gd,7,Typ,0,No,SBrkr,GasA,Ex
57,Y,0,860,860,0,1720,2,1,0,1,Gd,7,Typ,0,No,SBrkr,GasA,Ex
58,Y,0,1426,1519,0,2945,3,1,0,1,Gd,10,Typ,1,Gd,SBrkr,GasA,Ex
59,Y,0,780,0,0,780,1,0,0,1,TA,4,Typ,0,No,SBrkr,GasA,Ex
60,Y,1,1158,0,0,1158,1,1,0,1,Gd,5,Typ,0,No,SBrkr,GasA,Ex
61,N,0,581,530,0,1111,1,0,0,1,Fa,6,Typ,0,No,SBrkr,GasA,TA
62,Y,0,1370,0,0,1370,2,0,0,1,Gd,6,Typ,1,Gd,SBrkr,GasA,Ex
63,Y,0,902,808,0,1710,2,0,0,1,TA,9,Typ,0,No,SBrkr,GasA,Gd
64,Y,1,1057,977,0,2034,2,1,0,1,Gd,8,Typ,0,No,SBrkr,GasA,Ex
65,Y,0,1143,1330,0,2473,2,1,0,1,Gd,9,Typ,1,Gd,SBrkr,GasA,Ex
66,Y,1,2207,0,0,2207,2,0,0,1,TA,7,Min1,1,Gd,SBrkr,GasA,TA
67,Y,1,1479,0,0,1479,2,0,0,1,Gd,7,Typ,0,No,SBrkr,GasA,Ex
68,Y,0,747,0,0,747,1,0,0,1,TA,4,Typ,0,No,SBrkr,GasA,TA
69,Y,0,1304,983,0,2287,2,0,0,1,TA,7,Typ,1,TA,SBrkr,GasW,TA
70,Y,1,2223,0,0,2223,2,0,0,1,TA,8,Typ,2,Gd,SBrkr,GasA,Ex
71,Y,1,845,0,0,845,1,0,0,1,TA,4,Typ,0,No,SBrkr,GasA,TA
72,Y,0,885,833,0,1718,2,1,0,1,TA,7,Typ,1,TA,SBrkr,GasA,Gd
73,Y,1,1086,0,0,1086,1,0,0,1,TA,6,Typ,0,No,SBrkr,GasA,Gd
74,N,0,840,765,0,1605,2,0,0,2,TA,8,Typ,0,No,SBrkr,GasA,Gd
75,Y,1,526,462,0,988,1,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,TA
76,Y,0,952,0,0,952,1,0,0,1,TA,4,Typ,0,No,FuseA,GasA,Ex
77,Y,1,1072,213,0,1285,1,0,0,1,TA,6,Min1,0,No,SBrkr,GasA,TA
78,N,0,1768,0,0,1768,2,0,0,2,TA,8,Typ,0,No,SBrkr,GasA,TA
79,Y,0,682,548,0,1230,1,1,0,1,TA,5,Typ,0,No,SBrkr,GasA,Gd
80,Y,0,1182,960,0,2142,2,1,0,1,Gd,8,Typ,1,Gd,SBrkr,GasA,TA
81,Y,1,1337,0,0,1337,2,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,Ex
82,Y,0,1563,0,0,1563,2,0,0,1,Gd,6,Typ,1,Gd,SBrkr,GasA,Ex
83,Y,0,1065,0,0,1065,1,1,0,1,TA,6,Typ,0,No,SBrkr,GasA,Gd
84,Y,0,804,670,0,1474,2,1,0,1,TA,7,Typ,1,TA,SBrkr,GasA,Gd
85,Y,0,1301,1116,0,2417,2,1,0,1,Gd,9,Typ,1,TA,SBrkr,GasA,Ex
86,Y,0,684,876,0,1560,2,1,0,1,Gd,6,Typ,1,Gd,SBrkr,GasA,Ex
87,Y,0,612,612,0,1224,2,1,0,1,Gd,4,Typ,0,No,SBrkr,GasA,Ex
88,N,0,1013,0,513,1526,1,0,0,1,Fa,6,Typ,0,No,SBrkr,GasA,TA
89,Y,1,990,0,0,990,1,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,Ex
90,Y,0,1040,0,0,1040,1,0,0,1,TA,4,Typ,0,No,FuseA,GasA,TA
91,Y,0,1235,0,0,1235,1,0,0,1,TA,6,Typ,0,No,SBrkr,GasA,TA
92,Y,1,964,0,0,964,1,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,Ex
93,N,0,1260,1031,0,2291,2,0,1,2,TA,9,Typ,1,Gd,SBrkr,GasW,Ex
94,Y,1,905,881,0,1786,2,1,0,1,Gd,7,Typ,0,No,SBrkr,GasA,Ex
95,Y,0,680,790,0,1470,2,1,0,1,TA,6,Typ,1,TA,SBrkr,GasA,Gd
96,Y,0,1588,0,0,1588,2,0,0,1,Gd,6,Typ,0,No,SBrkr,GasA,Ex
97,Y,1,960,0,0,960,1,0,0,1,TA,6,Typ,0,No,FuseF,GasA,TA
98,N,0,835,0,0,835,1,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,Fa
99,Y,1,1225,0,0,1225,1,1,0,1,TA,6,Typ,0,No,SBrkr,GasA,Fa
100,Y,1,1610,0,0,1610,2,0,0,1,Gd,6,Typ,2,TA,SBrkr,GasA,Gd
101,Y,0,977,755,0,1732,2,1,0,1,Gd,7,Typ,1,TA,SBrkr,GasA,TA
102,Y,0,1535,0,0,1535,2,0,0,2,TA,8,Typ,0,No,SBrkr,GasA,TA
103,Y,0,1226,0,0,1226,2,0,0,1,Gd,6,Typ,0,No,SBrkr,GasA,Ex
104,Y,0,1226,592,0,1818,1,1,0,1,TA,7,Typ,2,TA,FuseF,GasA,Ex
105,Y,0,1053,939,0,1992,2,1,0,1,Gd,9,Typ,1,Gd,SBrkr,GasA,Ex
106,Y,0,1047,0,0,1047,1,0,0,1,TA,6,Typ,0,No,SBrkr,GasA,Gd
107,Y,0,789,0,0,789,1,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,Ex
108,N,0,997,520,0,1517,2,0,0,1,Fa,7,Typ,0,No,FuseF,GasW,TA
109,Y,0,1844,0,0,1844,2,0,0,1,TA,7,Typ,1,TA,SBrkr,GasA,Ex
110,Y,0,1216,639,0,1855,2,0,0,1,TA,7,Typ,0,No,SBrkr,GasA,Gd
111,Y,0,774,656,0,1430,2,1,0,1,TA,7,Typ,1,TA,SBrkr,GasA,Ex
112,Y,1,1282,1414,0,2696,2,1,0,1,Ex,10,Typ,1,Gd,SBrkr,GasA,Ex
113,Y,1,2259,0,0,2259,2,0,0,1,Gd,7,Typ,2,Gd,SBrkr,GasA,TA
114,Y,1,1436,884,0,2320,2,1,0,1,Gd,9,Typ,1,TA,SBrkr,GasA,Ex
115,Y,0,729,729,0,1458,2,1,0,1,TA,5,Typ,1,Fa,SBrkr,GasA,Gd
116,Y,0,1092,0,0,1092,1,0,1,1,TA,6,Typ,1,Po,SBrkr,GasA,TA
117,Y,0,1125,0,0,1125,1,1,0,1,TA,5,Typ,0,No,SBrkr,GasA,Gd
118,Y,1,1699,1523,0,3222,3,0,0,1,Gd,11,Typ,2,TA,SBrkr,GasA,Gd
119,Y,0,728,728,0,1456,2,1,0,1,Gd,8,Typ,1,Gd,SBrkr,GasA,Ex
120,Y,1,988,0,0,988,1,0,0,1,TA,4,Typ,2,TA,SBrkr,GasA,Ex
121,Y,0,772,351,0,1123,1,0,0,1,TA,4,Typ,0,No,SBrkr,GasA,Gd
122,Y,0,1080,0,0,1080,1,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,Gd
123,Y,0,1199,0,0,1199,2,0,0,1,Gd,5,Typ,0,No,SBrkr,GasA,Ex
124,Y,0,1586,0,0,1586,2,0,0,1,TA,7,Typ,1,TA,SBrkr,GasA,TA
125,N,1,520,0,234,754,1,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,Gd
126,Y,0,958,0,0,958,2,0,0,1,TA,5,Typ,1,TA,SBrkr,GasA,TA
127,Y,0,840,0,0,840,1,0,0,1,TA,5,Typ,1,TA,SBrkr,GasA,Ex
128,Y,0,660,688,0,1348,1,1,0,1,TA,6,Typ,1,Fa,SBrkr,GasA,TA
129,Y,0,1053,0,0,1053,1,1,1,1,Ex,6,Typ,0,No,FuseA,GasA,TA
130,Y,0,1216,941,0,2157,2,1,0,1,Gd,8,Typ,2,Gd,SBrkr,GasA,Ex
131,Y,1,1022,1032,0,2054,2,1,0,1,Gd,7,Typ,1,TA,SBrkr,GasA,Ex
132,Y,1,1327,0,0,1327,1,0,0,1,Gd,7,Typ,0,No,SBrkr,GasA,Gd
133,Y,1,1296,0,0,1296,2,0,0,1,Gd,6,Typ,0,No,SBrkr,GasA,Ex
134,Y,0,1721,0,0,1721,2,1,0,1,TA,7,Min1,1,TA,SBrkr,GasA,Gd
135,Y,0,1682,0,0,1682,2,0,0,1,TA,7,Typ,1,Gd,SBrkr,GasA,Gd
136,Y,0,1214,0,0,1214,2,0,0,1,TA,5,Typ,1,Fa,SBrkr,GasA,TA
137,Y,0,1959,0,0,1959,3,0,0,2,TA,9,Typ,0,No,SBrkr,GasA,Gd
138,Y,0,1004,848,0,1852,2,1,0,1,Gd,7,Typ,2,TA,SBrkr,GasA,Ex
139,Y,1,928,836,0,1764,2,1,0,1,Gd,7,Typ,0,No,SBrkr,GasA,Ex
140,Y,0,864,0,0,864,1,0,0,1,TA,5,Typ,1,Po,SBrkr,GasA,TA
141,Y,1,1734,0,0,1734,2,0,0,1,Gd,7,Typ,0,No,SBrkr,GasA,Ex
142,Y,0,910,475,0,1385,2,0,0,1,TA,6,Typ,0,No,SBrkr,GasA,Fa
143,Y,1,1501,0,0,1501,2,0,0,1,Gd,6,Typ,0,No,SBrkr,GasA,Ex
144,Y,1,1728,0,0,1728,2,0,0,2,TA,10,Typ,0,No,SBrkr,GasA,TA
145,Y,0,970,739,0,1709,2,0,0,1,Gd,7,Maj1,0,No,SBrkr,GasA,Ex
146,Y,1,875,0,0,875,1,0,0,1,TA,5,Typ,0,No,FuseA,GasA,TA
147,Y,0,884,1151,0,2035,2,1,0,1,Gd,8,Typ,1,Gd,SBrkr,GasA,Ex
148,Y,1,1080,0,0,1080,1,0,0,1,Gd,6,Typ,0,No,SBrkr,GasA,Ex
149,Y,0,896,448,0,1344,1,0,0,1,TA,7,Typ,0,No,FuseA,GasA,Gd
150,Y,0,969,0,0,969,1,1,0,1,TA,5,Typ,0,No,SBrkr,GasA,TA
151,Y,1,1710,0,0,1710,2,0,0,1,Gd,6,Typ,1,Gd,SBrkr,GasA,Ex
152,Y,0,1097,896,0,1993,2,1,0,1,TA,8,Typ,1,Gd,SBrkr,GasA,Gd
153,Y,1,1252,0,0,1252,1,0,0,1,TA,4,Typ,1,Gd,SBrkr,GasA,Gd
154,Y,0,1200,0,0,1200,1,0,0,1,TA,7,Typ,0,No,FuseA,GasA,TA
155,N,0,572,524,0,1096,1,0,0,1,TA,5,Typ,0,No,FuseF,Grav,Fa
156,Y,0,1040,0,0,1040,1,0,0,1,TA,5,Typ,0,No,FuseF,GasA,TA
157,Y,0,774,1194,0,1968,2,1,0,1,Ex,8,Typ,1,Gd,SBrkr,GasA,Ex
158,Y,0,991,956,0,1947,2,1,0,1,Gd,8,Typ,1,Gd,SBrkr,GasA,Ex
159,Y,1,1392,1070,0,2462,2,1,0,1,Gd,9,Typ,1,Gd,SBrkr,GasA,Ex
160,Y,0,1232,0,0,1232,2,0,0,1,TA,6,Typ,0,No,SBrkr,GasA,TA
161,Y,1,1572,1096,0,2668,2,1,0,1,Ex,10,Typ,2,Gd,SBrkr,GasA,Ex
162,Y,0,1541,0,0,1541,2,0,0,1,Gd,7,Typ,1,Gd,SBrkr,GasA,Ex
163,Y,0,882,0,0,882,1,0,0,1,TA,4,Typ,0,No,SBrkr,GasA,Ex
164,Y,0,1149,467,0,1616,2,0,0,1,Gd,5,Typ,0,No,FuseA,GasA,Gd
165,Y,1,808,547,0,1355,2,0,0,2,TA,6,Typ,0,No,SBrkr,GasA,Gd
166,Y,1,1867,0,0,1867,1,0,0,1,TA,7,Typ,3,Gd,FuseA,GasA,Ex
167,Y,1,1610,551,0,2161,1,1,0,1,Ex,8,Typ,1,Gd,SBrkr,GasA,Ex
168,Y,0,840,880,0,1720,2,1,0,1,Gd,7,Typ,1,Gd,SBrkr,GasA,Ex
169,Y,0,1707,0,0,1707,2,1,0,1,TA,6,Typ,1,TA,SBrkr,GasA,TA
170,Y,0,854,0,528,1382,1,1,0,1,TA,7,Typ,0,No,SBrkr,GasA,TA
171,Y,1,1656,0,0,1656,1,0,0,1,TA,7,Typ,2,Gd,SBrkr,GasA,Fa
172,Y,1,1064,703,0,1767,2,0,0,1,Gd,5,Typ,1,TA,SBrkr,GasA,Gd
173,Y,1,1362,0,0,1362,1,1,0,1,TA,6,Typ,1,TA,SBrkr,GasA,TA
174,Y,1,1651,0,0,1651,2,0,0,1,TA,7,Min2,1,TA,SBrkr,GasA,TA
175,Y,1,2158,0,0,2158,2,0,0,1,Gd,7,Typ,1,Gd,SBrkr,GasA,TA
176,Y,0,1164,896,0,2060,2,1,1,1,TA,8,Typ,1,TA,SBrkr,GasA,TA
177,Y,1,1252,668,0,1920,2,0,0,1,Gd,8,Typ,1,Gd,SBrkr,GasA,Ex
178,Y,1,2234,0,0,2234,2,0,0,1,Ex,9,Typ,1,Gd,SBrkr,GasA,Ex
179,Y,0,968,0,0,968,1,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,TA
180,Y,0,769,756,0,1525,2,1,0,1,Gd,5,Typ,1,TA,SBrkr,GasA,Ex
181,Y,0,901,901,0,1802,1,1,0,1,TA,9,Typ,1,Gd,SBrkr,GasA,Gd
182,Y,0,1340,0,0,1340,1,0,0,1,TA,7,Typ,1,Gd,SBrkr,GasA,Ex
183,Y,0,1362,720,0,2082,2,1,0,1,Gd,6,Mod,0,No,SBrkr,GasA,Ex
184,Y,0,936,316,0,1252,1,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,Gd
185,Y,0,1518,1518,572,3608,2,1,0,1,Ex,12,Typ,2,TA,SBrkr,GasA,Ex
186,Y,1,1217,0,0,1217,2,0,0,1,Gd,6,Typ,0,No,SBrkr,GasA,Ex
187,Y,0,808,704,144,1656,2,1,0,1,TA,8,Min2,0,No,SBrkr,GasA,Ex
188,Y,2,1224,0,0,1224,0,2,0,2,TA,6,Typ,2,TA,SBrkr,GasA,TA
189,Y,1,1593,0,0,1593,1,1,0,1,Ex,5,Typ,1,Gd,SBrkr,GasA,Ex
190,Y,0,1549,1178,0,2727,2,1,0,1,Gd,10,Maj1,2,TA,SBrkr,GasA,TA
191,Y,1,725,754,0,1479,1,1,0,1,Gd,7,Typ,0,No,SBrkr,GasA,Gd
192,Y,1,1431,0,0,1431,2,0,0,1,Gd,6,Typ,0,No,SBrkr,GasA,Ex
193,Y,0,970,739,0,1709,2,0,0,1,Gd,7,Maj1,0,No,SBrkr,GasA,Ex
194,Y,0,864,0,0,864,1,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,TA
195,Y,0,855,601,0,1456,2,1,0,1,TA,7,Typ,1,TA,SBrkr,GasA,TA
196,Y,1,1726,0,0,1726,2,0,0,1,Ex,8,Typ,1,Gd,SBrkr,GasA,Ex
197,Y,1,1360,1360,392,3112,2,0,1,1,Gd,8,Typ,1,Ex,SBrkr,GasA,Gd
198,Y,0,929,929,371,2229,1,0,0,1,TA,8,Typ,0,No,SBrkr,GasA,Ex
199,Y,1,1713,0,0,1713,2,0,0,1,Ex,7,Typ,1,Gd,SBrkr,GasA,Ex
200,Y,0,1121,0,0,1121,2,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,Ex
201,Y,0,1279,0,0,1279,2,0,1,1,TA,6,Typ,2,Fa,SBrkr,GasA,TA
202,Y,0,865,445,0,1310,2,0,0,1,TA,6,Min1,0,No,SBrkr,GasA,Gd
203,Y,1,848,0,0,848,1,0,0,1,Gd,3,Typ,1,Gd,SBrkr,GasA,Ex
204,Y,0,720,564,0,1284,1,1,0,1,TA,5,Typ,0,No,SBrkr,GasA,TA
205,Y,0,1442,0,0,1442,2,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,Ex
206,Y,0,1696,0,0,1696,1,1,0,1,TA,8,Min2,1,TA,SBrkr,GasA,TA
207,Y,1,1100,0,0,1100,1,0,0,1,TA,6,Typ,1,Po,SBrkr,GasA,TA
208,Y,1,1180,882,0,2062,2,1,0,1,TA,7,Typ,1,Gd,SBrkr,GasA,Ex
209,Y,1,1092,0,0,1092,1,0,0,1,TA,6,Typ,0,No,SBrkr,GasA,Ex
210,N,1,864,0,0,864,1,0,0,1,TA,5,Typ,0,No,FuseA,GasA,TA
211,Y,0,1212,0,0,1212,2,0,0,1,Gd,6,Typ,0,No,SBrkr,GasA,Ex
212,Y,1,932,920,0,1852,2,1,0,1,Gd,7,Typ,1,TA,SBrkr,GasA,Ex
213,Y,0,990,0,0,990,1,0,1,1,TA,5,Typ,0,No,SBrkr,GasA,Ex
214,Y,0,689,703,0,1392,1,1,0,1,TA,6,Typ,0,No,SBrkr,GasA,Ex
215,Y,0,1236,0,0,1236,1,0,1,1,Gd,6,Min1,1,Fa,SBrkr,GasA,TA
216,Y,1,1436,0,0,1436,2,0,0,1,Gd,8,Typ,0,No,SBrkr,GasA,Ex
217,N,0,810,518,0,1328,1,0,0,1,TA,8,Typ,0,No,SBrkr,GasA,Fa
218,Y,0,1137,817,0,1954,1,1,1,1,Gd,8,Typ,2,TA,SBrkr,GasA,Ex
219,Y,0,1248,0,0,1248,2,0,0,1,Gd,5,Typ,0,No,SBrkr,GasA,Ex
220,Y,0,1498,0,0,1498,2,0,0,1,Gd,5,Typ,0,No,SBrkr,GasA,Ex
221,Y,0,1010,1257,0,2267,2,1,0,1,Gd,8,Typ,1,TA,SBrkr,GasA,Ex
222,Y,1,811,741,0,1552,2,1,0,1,TA,6,Typ,1,TA,SBrkr,GasA,TA
223,Y,0,864,0,0,864,1,0,0,1,TA,4,Typ,0,No,SBrkr,GasA,Gd
224,Y,0,2392,0,0,2392,2,0,0,1,Ex,8,Typ,1,Ex,SBrkr,GasA,Ex
225,Y,0,630,672,0,1302,2,1,0,1,TA,6,Typ,0,No,SBrkr,GasA,TA
226,Y,0,1214,1306,0,2520,2,1,0,1,Gd,9,Typ,1,TA,SBrkr,GasA,Ex
227,Y,0,483,504,0,987,1,1,0,1,TA,5,Typ,0,No,SBrkr,GasA,TA
228,Y,0,912,0,0,912,1,0,0,1,TA,5,Typ,1,Fa,SBrkr,GasA,TA
229,Y,0,1555,0,0,1555,2,0,0,1,Gd,7,Typ,1,TA,SBrkr,GasA,Ex
230,Y,1,1194,0,0,1194,1,0,0,1,TA,6,Typ,0,No,SBrkr,GasA,TA
231,Y,1,1490,1304,0,2794,2,1,0,1,Ex,9,Typ,1,TA,SBrkr,GasA,Ex
232,Y,0,483,504,0,987,1,1,0,1,TA,5,Typ,1,Po,SBrkr,GasA,TA
233,Y,1,894,0,0,894,1,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,TA
234,Y,1,860,1100,0,1960,2,1,0,1,Gd,8,Typ,2,TA,SBrkr,GasA,Ex
235,Y,0,483,504,0,987,1,1,0,1,TA,5,Typ,0,No,SBrkr,GasA,TA
236,Y,0,1414,0,0,1414,2,0,0,1,Gd,6,Typ,0,No,SBrkr,GasA,Ex
237,Y,0,1014,730,0,1744,2,1,0,1,Gd,7,Typ,0,No,SBrkr,GasA,Ex
238,Y,0,1694,0,0,1694,2,0,0,1,Gd,7,Typ,0,No,SBrkr,GasA,Ex
239,Y,0,798,689,0,1487,1,1,0,1,TA,7,Typ,1,Gd,FuseA,GasA,TA
240,Y,1,1566,0,0,1566,2,0,0,1,Gd,7,Typ,0,No,SBrkr,GasA,Ex
241,Y,0,866,0,0,866,1,0,0,1,Gd,4,Typ,0,No,SBrkr,GasA,Gd
242,N,0,889,551,0,1440,1,0,0,1,TA,6,Typ,0,No,FuseA,GasA,Gd
243,Y,0,626,591,0,1217,1,1,0,1,TA,6,Typ,1,TA,SBrkr,GasA,TA
244,Y,1,1222,888,0,2110,2,1,0,1,Gd,8,Typ,2,Fa,SBrkr,GasA,Ex
245,Y,0,1872,0,0,1872,2,0,1,1,TA,6,Typ,1,TA,SBrkr,GasA,Gd
246,N,0,908,1020,0,1928,2,0,0,2,Fa,9,Typ,0,No,FuseP,GasA,Gd
247,Y,0,1375,0,0,1375,1,0,0,1,TA,5,Typ,1,TA,SBrkr,GasA,Ex
248,Y,0,840,828,0,1668,2,1,0,1,Gd,8,Typ,0,No,SBrkr,GasA,Ex
249,Y,0,1444,700,0,2144,2,0,1,1,Gd,7,Typ,2,TA,SBrkr,GasA,Gd
250,Y,0,1306,0,0,1306,1,0,0,1,Fa,6,Mod,0,No,SBrkr,GasA,Ex
251,Y,1,1625,0,0,1625,2,0,1,1,Gd,5,Typ,1,Gd,SBrkr,GasA,Ex
252,Y,0,798,842,0,1640,2,1,0,1,Gd,6,Typ,0,No,SBrkr,GasA,Ex
253,Y,0,1302,0,0,1302,2,0,1,1,Gd,7,Min1,0,No,SBrkr,GasA,Ex
254,Y,1,1314,0,0,1314,1,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,TA
255,Y,0,1005,1286,0,2291,2,1,0,1,Gd,8,Typ,1,TA,SBrkr,GasA,Ex
256,Y,0,864,864,0,1728,2,1,0,1,Gd,7,Typ,0,No,SBrkr,GasA,Ex
257,Y,1,1604,0,0,1604,2,1,0,1,Gd,8,Typ,1,Gd,SBrkr,GasA,Ex
258,Y,0,963,829,0,1792,2,1,0,1,Gd,7,Typ,1,TA,SBrkr,GasA,Ex
259,Y,0,882,0,0,882,1,0,0,1,TA,4,Typ,0,No,FuseA,GasA,Gd
260,Y,1,1382,0,0,1382,1,0,0,1,TA,6,Typ,1,TA,SBrkr,GasA,TA
