Property_Id,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF
196,Ex,TA,No,GLQ,1126,Unf,0,600,1726
197,TA,TA,No,GLQ,1036,LwQ,184,140,1360
198,TA,TA,No,Unf,0,Unf,0,755,755
199,Ex,TA,Av,GLQ,1088,Unf,0,625,1713
200,Gd,TA,No,Unf,0,Unf,0,1121,1121
201,TA,TA,No,ALQ,641,LwQ,279,276,1196
202,Fa,TA,No,LwQ,617,Unf,0,0,617
203,Gd,TA,Av,GLQ,662,Unf,0,186,848
204,TA,TA,No,LwQ,312,Unf,0,408,720
205,Gd,TA,No,Unf,0,Unf,0,1424,1424
206,TA,TA,No,Unf,0,Unf,0,1140,1140
207,TA,TA,No,ALQ,419,Rec,306,375,1100
208,Gd,TA,Gd,GLQ,1065,Unf,0,92,1157
209,Gd,TA,No,Rec,787,Unf,0,305,1092
210,TA,TA,No,Rec,468,Unf,0,396,864
211,Gd,TA,Mn,GLQ,36,Unf,0,1176,1212
212,Gd,TA,No,GLQ,822,Unf,0,78,900
213,Gd,TA,No,ALQ,716,Unf,0,274,990
214,Gd,TA,No,GLQ,378,Unf,0,311,689
215,TA,TA,No,BLQ,360,Unf,0,710,1070
216,Gd,TA,Mn,GLQ,946,Unf,0,490,1436
217,TA,TA,No,Unf,0,Unf,0,686,686
218,TA,TA,No,BLQ,341,Unf,0,457,798
219,Gd,TA,Av,GLQ,16,Unf,0,1232,1248
220,Gd,TA,Mn,Unf,0,Unf,0,1498,1498
221,Gd,TA,No,Unf,0,Unf,0,1010,1010
222,Gd,TA,No,ALQ,550,Unf,0,163,713
223,TA,TA,No,ALQ,524,LwQ,180,160,864
224,Ex,TA,Gd,GLQ,56,Unf,0,2336,2392
225,TA,TA,No,Unf,0,Unf,0,630,630
226,Gd,TA,No,GLQ,565,Unf,0,638,1203
227,TA,TA,No,Rec,321,Unf,0,162,483
228,TA,TA,No,ALQ,842,Unf,0,70,912
229,Gd,TA,Av,GLQ,16,Unf,0,1357,1373
230,TA,TA,No,Unf,0,Unf,0,1194,1194
231,Gd,TA,No,GLQ,689,Unf,0,773,1462
232,TA,TA,No,Unf,0,Unf,0,483,483
233,TA,Gd,Av,LwQ,182,ALQ,712,0,894
234,Gd,TA,No,GLQ,625,Unf,0,235,860
235,TA,TA,No,ALQ,358,Unf,0,125,483
236,Gd,TA,Av,GLQ,24,Unf,0,1390,1414
237,Gd,TA,No,BLQ,402,Unf,0,594,996
238,Ex,TA,No,Unf,0,Unf,0,1694,1694
239,TA,Fa,No,LwQ,94,Unf,0,641,735
240,Gd,TA,Av,GLQ,1078,Unf,0,488,1566
241,TA,TA,No,ALQ,329,Unf,0,357,686
242,TA,TA,No,Unf,0,Unf,0,540,540
243,Gd,TA,No,Unf,0,Unf,0,626,626
244,Gd,TA,No,GLQ,695,Unf,0,253,948
245,Gd,TA,Av,GLQ,929,Unf,0,916,1845
246,Fa,TA,No,Unf,0,Unf,0,1020,1020
247,TA,TA,No,Unf,0,Unf,0,1367,1367
248,Gd,TA,No,Unf,0,Unf,0,840,840
249,Gd,TA,Gd,Rec,697,Unf,0,747,1444
250,TA,TA,No,Unf,0,Unf,0,728,728
251,Gd,TA,Gd,GLQ,1573,Unf,0,0,1573
252,Gd,TA,No,Unf,0,Unf,0,798,798
253,Gd,TA,Gd,LwQ,270,ALQ,580,452,1302
254,TA,TA,No,Rec,922,Unf,0,392,1314
255,Gd,TA,No,Unf,0,Unf,0,975,975
256,Gd,TA,No,Rec,503,Unf,0,361,864
257,Gd,TA,No,GLQ,1334,Unf,0,270,1604
258,Gd,TA,No,GLQ,361,Unf,0,602,963
259,No,No,No,No,0,No,0,0,0
260,TA,TA,Gd,Rec,672,ALQ,690,0,1362
261,Ex,TA,No,Unf,0,Unf,0,1482,1482
262,Gd,Gd,Av,ALQ,506,Unf,0,0,506
263,TA,TA,No,LwQ,234,ALQ,692,0,926
264,Fa,TA,No,Unf,0,Unf,0,680,680
265,Gd,TA,No,GLQ,588,LwQ,228,606,1422
266,Gd,TA,Av,GLQ,714,Unf,0,88,802
267,TA,TA,No,LwQ,378,Unf,0,342,720
268,TA,TA,No,ALQ,403,Rec,125,212,740
269,TA,Gd,No,BLQ,751,Unf,0,392,1143
270,Gd,TA,Mn,Unf,0,Unf,0,1095,1095
271,Gd,TA,Gd,LwQ,226,GLQ,1063,96,1385
272,Gd,TA,No,GLQ,524,Unf,0,628,1152
273,TA,TA,No,Rec,620,LwQ,620,0,1240
274,TA,TA,Gd,ALQ,546,Unf,0,270,816
275,TA,TA,No,Unf,0,Unf,0,952,952
276,Ex,TA,No,Unf,0,Unf,0,1560,1560
277,TA,TA,No,LwQ,120,Unf,0,744,864
278,Ex,TA,Gd,Unf,0,Unf,0,2121,2121
279,Gd,TA,No,BLQ,392,Unf,0,768,1160
280,Gd,TA,Av,GLQ,421,Unf,0,386,807
281,Gd,TA,No,GLQ,905,Unf,0,357,1262
282,Gd,TA,No,GLQ,904,Unf,0,410,1314
283,Gd,TA,No,Unf,0,Unf,0,1468,1468
284,Gd,TA,No,GLQ,430,Unf,0,1145,1575
285,Gd,TA,No,Unf,0,Unf,0,625,625
286,TA,TA,No,Rec,600,Unf,0,312,912
287,TA,TA,No,BLQ,614,Unf,0,244,858
288,TA,TA,No,BLQ,450,Unf,0,432,882
289,TA,TA,No,Unf,0,Unf,0,698,698
290,Gd,TA,Av,Unf,0,Unf,0,1079,1079
291,TA,Fa,No,Rec,210,Unf,0,570,780
292,TA,TA,No,LwQ,292,Unf,0,476,768
293,TA,TA,No,ALQ,795,Unf,0,0,795
294,TA,TA,No,GLQ,1285,Unf,0,131,1416
295,TA,TA,Av,GLQ,819,Unf,0,184,1003
296,TA,TA,No,BLQ,420,Unf,0,490,910
297,Gd,TA,No,BLQ,649,Unf,0,326,975
298,TA,TA,No,ALQ,384,Rec,175,143,702
299,TA,TA,No,Unf,0,Unf,0,1092,1092
300,TA,TA,Mn,BLQ,841,Unf,0,324,1165
301,Gd,TA,No,GLQ,281,Unf,0,747,1028
302,Gd,TA,No,Unf,0,Unf,0,1541,1541
303,TA,TA,No,ALQ,894,Unf,0,0,894
304,TA,TA,No,Unf,0,Unf,0,1470,1470
305,Gd,TA,No,GLQ,1464,Unf,0,536,2000
306,Gd,TA,No,ALQ,700,Unf,0,0,700
307,TA,TA,No,Unf,0,Unf,0,319,319
308,TA,TA,No,BLQ,262,Unf,0,599,861
309,Ex,TA,Gd,GLQ,1274,Unf,0,622,1896
310,Gd,TA,No,ALQ,518,Unf,0,179,697
311,TA,TA,No,ALQ,680,Unf,0,292,972
312,Gd,TA,Mn,Rec,507,Unf,0,286,793
313,Gd,TA,Gd,ALQ,1236,Rec,820,80,2136
314,TA,Gd,No,LwQ,16,Unf,0,712,728
315,Gd,TA,No,GLQ,425,Unf,0,291,716
316,Gd,TA,No,GLQ,692,Unf,0,153,845
317,Gd,TA,Av,Unf,0,Unf,0,1088,1088
318,Gd,TA,Gd,GLQ,987,Unf,0,360,1347
319,Gd,TA,Av,GLQ,1036,Unf,0,336,1372
320,Ex,Gd,Av,Unf,0,Unf,0,1249,1249
321,Ex,TA,Av,GLQ,970,Unf,0,166,1136
322,TA,TA,Gd,LwQ,28,ALQ,1474,0,1502
323,TA,TA,No,ALQ,256,Unf,0,906,1162
324,Gd,TA,No,Unf,0,Unf,0,710,710
325,TA,TA,Av,BLQ,116,Unf,0,604,720
326,Gd,TA,Gd,GLQ,1619,Unf,0,100,1719
327,TA,TA,No,Rec,565,Unf,0,818,1383
328,TA,TA,No,Unf,0,Unf,0,844,844
329,TA,TA,Mn,Unf,0,Unf,0,596,596
330,TA,TA,No,GLQ,40,Rec,264,1424,1728
331,TA,TA,No,Rec,846,Unf,0,210,1056
332,Gd,TA,No,GLQ,1124,No,479,1603,3206
333,Gd,TA,Av,GLQ,720,Unf,0,638,1358
334,Gd,TA,Gd,GLQ,828,Unf,0,115,943
335,TA,TA,Gd,ALQ,1249,BLQ,147,103,1499
336,Ex,TA,Gd,GLQ,1249,Unf,0,673,1922
337,Gd,TA,Av,GLQ,810,Unf,0,726,1536
338,Gd,TA,Mn,ALQ,213,Unf,0,995,1208
339,TA,Fa,No,Rec,585,Unf,0,630,1215
340,Gd,TA,No,Unf,0,Unf,0,967,967
341,TA,Fa,No,Unf,0,Unf,0,721,721
342,No,No,No,No,0,No,0,0,0
343,Ex,TA,No,GLQ,28,Unf,0,1656,1684
344,Gd,TA,No,Rec,129,BLQ,232,175,536
345,TA,TA,No,Unf,0,Unf,0,972,972
346,TA,TA,Mn,BLQ,498,Unf,0,460,958
347,TA,TA,No,BLQ,1270,Unf,0,208,1478
348,Gd,TA,No,GLQ,573,Unf,0,191,764
349,Ex,TA,No,GLQ,1410,Unf,0,438,1848
350,Ex,TA,No,Unf,0,Unf,0,1869,1869
351,Gd,TA,Gd,GLQ,1082,Unf,0,371,1453
352,TA,Fa,Mn,LwQ,236,Rec,380,0,616
353,TA,TA,No,Unf,0,Unf,0,624,624
354,TA,TA,No,LwQ,388,Unf,0,552,940
355,Gd,Gd,No,ALQ,334,BLQ,544,322,1200
356,Gd,TA,No,GLQ,560,Unf,0,598,1158
357,Gd,TA,No,ALQ,874,Unf,0,268,1142
358,TA,TA,Av,BLQ,300,Rec,294,468,1062
359,Gd,TA,Av,GLQ,956,Unf,0,130,1086
360,Gd,TA,Av,GLQ,773,Unf,0,115,888
361,TA,TA,No,Rec,399,Unf,0,484,883
362,No,No,No,No,0,No,0,0,0
363,TA,TA,No,ALQ,162,Unf,0,321,483
364,Gd,TA,Mn,GLQ,712,Unf,0,84,796
365,TA,Fa,No,Rec,456,Unf,0,216,672
366,Gd,TA,No,BLQ,609,Unf,0,785,1394
367,Gd,TA,Gd,GLQ,371,Unf,0,728,1099
368,TA,TA,No,LwQ,540,Unf,0,728,1268
369,TA,TA,No,ALQ,72,Rec,258,733,1063
370,Gd,TA,No,Unf,0,Unf,0,953,953
371,No,No,No,No,0,No,0,0,0
372,Gd,TA,No,ALQ,623,LwQ,121,0,744
373,TA,TA,No,BLQ,428,LwQ,180,0,608
374,Gd,TA,No,Unf,0,Unf,0,847,847
375,Fa,Po,Gd,BLQ,350,Unf,0,333,683
376,Gd,TA,Av,GLQ,298,Unf,0,572,870
377,Gd,TA,No,Unf,0,Unf,0,1580,1580
378,Ex,TA,Av,GLQ,1445,Unf,0,411,1856
379,Gd,TA,No,Unf,0,Unf,0,982,982
380,TA,TA,No,LwQ,218,Unf,0,808,1026
381,Gd,Gd,No,Unf,0,Unf,0,1293,1293
382,Gd,TA,Av,Unf,0,Unf,0,939,939
383,Fa,Fa,No,Unf,0,Unf,0,784,784
384,Gd,TA,Av,GLQ,985,Unf,0,595,1580
385,Gd,TA,No,GLQ,24,Unf,0,1232,1256
386,TA,TA,No,Unf,0,Unf,0,658,658
387,TA,TA,Av,ALQ,631,Unf,0,410,1041
388,Gd,TA,No,Unf,0,Unf,0,1468,1468
389,Ex,TA,Av,GLQ,1280,Unf,0,402,1682
390,TA,Gd,No,Rec,241,BLQ,391,229,861
391,Ex,TA,No,ALQ,690,Unf,0,114,804
392,No,No,No,No,0,No,0,0,0
393,TA,TA,No,Rec,266,Unf,0,522,788
394,TA,TA,No,Unf,0,Unf,0,735,735
395,TA,TA,Av,BLQ,739,Unf,0,405,1144
396,TA,TA,Av,Rec,777,Unf,0,117,894
397,TA,TA,No,ALQ,540,Unf,0,324,864
398,Fa,Po,No,Unf,0,Unf,0,961,961
399,Gd,TA,No,GLQ,812,Unf,0,280,1092
400,Gd,TA,No,GLQ,786,Unf,0,474,1260
401,Gd,TA,Av,GLQ,24,Unf,0,1286,1310
402,TA,TA,No,Unf,0,Unf,0,672,672
403,Gd,TA,No,Unf,0,Unf,0,1141,1141
404,Gd,TA,No,Unf,0,Unf,0,806,806
405,TA,TA,No,BLQ,1116,Unf,0,165,1281
406,TA,TA,No,Unf,0,Unf,0,1064,1064
407,Gd,TA,No,Unf,0,Unf,0,840,840
408,Ex,Gd,No,Unf,0,Unf,0,1063,1063
409,Ex,TA,No,GLQ,789,Unf,0,245,1034
410,TA,Fa,No,Unf,0,Unf,0,1276,1276
411,TA,TA,Mn,Rec,1056,Unf,0,0,1056
412,Ex,TA,Av,GLQ,578,Unf,0,892,1470
413,TA,TA,No,Unf,0,Unf,0,1008,1008
414,Gd,TA,No,BLQ,50,GLQ,531,499,1080
415,Gd,TA,Av,GLQ,24,Unf,0,1316,1340
416,TA,TA,No,ALQ,209,Unf,0,463,672
417,Gd,TA,No,BLQ,1128,Unf,0,242,1370
418,TA,TA,No,ALQ,312,Unf,0,444,756
419,TA,TA,No,BLQ,775,Unf,0,281,1056
420,Gd,Gd,Gd,GLQ,1309,Unf,0,35,1344
421,Gd,TA,No,ALQ,1246,Unf,0,356,1602
422,TA,TA,No,Unf,0,Unf,0,988,988
423,Gd,TA,No,GLQ,986,Unf,0,484,1470
424,Gd,TA,No,LwQ,616,Unf,0,580,1196
425,TA,TA,No,Unf,0,Unf,0,651,651
426,Gd,TA,Gd,GLQ,1518,Unf,0,0,1518
427,TA,TA,No,Rec,288,Unf,0,619,907
428,Gd,TA,No,GLQ,664,Unf,0,544,1208
429,Gd,TA,Mn,GLQ,1005,Unf,0,387,1392
430,TA,TA,No,ALQ,387,Unf,0,96,483
431,TA,TA,No,Unf,0,Unf,0,901,901
432,TA,TA,No,ALQ,471,Unf,0,294,765
433,Gd,TA,No,Unf,0,Unf,0,926,926
434,Gd,TA,Av,ALQ,495,Unf,0,135,630
435,Gd,TA,Av,GLQ,385,ALQ,344,70,799
436,Fa,TA,No,Unf,0,Unf,0,648,648
437,TA,TA,No,Unf,0,Unf,0,884,884
438,TA,TA,No,LwQ,365,Unf,0,75,440
439,TA,Fa,Mn,Unf,0,Unf,0,684,684
440,Ex,TA,Gd,GLQ,1767,ALQ,539,788,3094
441,TA,TA,No,ALQ,133,Unf,0,1307,1440
442,TA,TA,No,Unf,0,Unf,0,1078,1078
443,Ex,TA,Av,Unf,0,Unf,0,1258,1258
444,Gd,TA,No,GLQ,642,Unf,0,273,915
445,TA,TA,No,Unf,0,Unf,0,1436,1436
446,TA,TA,No,ALQ,247,Rec,713,557,1517
447,Gd,TA,No,Unf,0,Unf,0,930,930
448,TA,TA,No,Unf,0,Unf,0,780,780
449,TA,TA,No,ALQ,331,Unf,0,318,649
450,TA,TA,No,Unf,0,Unf,0,813,813
451,Gd,TA,Gd,ALQ,655,Unf,0,878,1533
452,Ex,TA,No,ALQ,742,Unf,0,130,872
453,Gd,TA,No,Unf,0,Unf,0,768,768
454,TA,TA,No,ALQ,1606,Unf,0,122,1728
455,TA,TA,No,ALQ,916,Unf,0,326,1242
456,TA,TA,No,Unf,0,Unf,0,624,624
457,Gd,TA,Gd,BLQ,1116,Unf,0,248,1364
458,TA,TA,No,Unf,0,Unf,0,588,588
459,TA,TA,No,LwQ,185,Unf,0,524,709
460,Gd,TA,No,GLQ,544,Unf,0,288,832
461,Gd,Gd,No,ALQ,350,BLQ,210,0,560
462,TA,TA,No,Rec,553,BLQ,311,0,864
463,TA,TA,No,LwQ,326,Unf,0,389,715
464,Gd,TA,No,Rec,616,Unf,0,424,1040
465,Gd,TA,No,Unf,0,Unf,0,1375,1375
466,TA,Gd,Gd,GLQ,778,Unf,0,499,1277
467,TA,TA,No,LwQ,386,Unf,0,342,728
468,Gd,TA,No,Unf,0,Unf,0,1626,1626
469,Gd,TA,No,GLQ,426,Unf,0,406,832
470,Gd,TA,Av,GLQ,368,BLQ,1120,0,1488
471,Gd,TA,No,Unf,0,Unf,0,808,808
472,Gd,TA,Gd,GLQ,459,Unf,0,88,547
473,Ex,TA,Gd,GLQ,1350,Unf,0,626,1976
474,Gd,TA,Av,GLQ,1196,Unf,0,298,1494
475,TA,TA,No,GLQ,630,Unf,0,340,970
476,Gd,TA,Gd,GLQ,994,Unf,0,484,1478
477,Gd,TA,Av,Unf,0,Unf,0,2153,2153
478,Ex,TA,Gd,GLQ,1288,Unf,0,417,1705
479,Fa,TA,No,Rec,168,Unf,0,739,907
480,Ex,TA,Gd,GLQ,1261,Unf,0,572,1833
481,Ex,TA,Gd,GLQ,1567,Unf,0,225,1792
482,TA,TA,No,ALQ,299,Unf,0,611,910
483,Ex,TA,No,GLQ,897,Unf,0,319,1216
484,TA,TA,No,ALQ,588,Unf,0,411,999
485,TA,TA,No,ALQ,607,Unf,0,506,1113
