Property_Id,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond
94,Attchd,1997,RFn,2,684,TA,TA
95,BuiltIn,1993,Fin,2,420,TA,TA
96,Attchd,1999,RFn,2,472,TA,TA
97,Attchd,1965,Fin,1,432,TA,TA
98,Basment,1920,Unf,1,366,Fa,TA
99,No,,No,0,0,No,No
100,Attchd,1977,RFn,2,480,TA,TA
101,Attchd,1985,Fin,2,476,TA,TA
102,Attchd,1979,Unf,2,410,TA,TA
103,Attchd,2009,RFn,3,740,TA,TA
104,Detchd,1951,Unf,1,240,TA,TA
105,Attchd,2003,RFn,2,648,TA,TA
106,Detchd,1954,Unf,1,273,Fa,Fa
107,Detchd,1948,Unf,1,250,TA,TA
108,No,,No,0,0,No,No
109,Attchd,1977,RFn,2,546,TA,TA
110,Attchd,1954,Unf,1,325,TA,TA
111,BuiltIn,2000,Fin,2,400,TA,TA
112,BuiltIn,2007,Fin,3,792,TA,TA
113,Basment,1953,Unf,2,450,TA,TA
114,Detchd,1945,Unf,1,180,TA,TA
115,Detchd,1999,Unf,2,440,TA,TA
116,Attchd,1962,Unf,1,288,TA,TA
117,Attchd,2007,Unf,2,430,TA,TA
118,Attchd,1990,Unf,3,594,TA,TA
119,Attchd,2005,Fin,2,390,TA,TA
120,Attchd,1969,Unf,2,540,TA,TA
121,Detchd,1979,Unf,1,264,TA,TA
122,Attchd,1958,Unf,1,288,TA,TA
123,Attchd,1993,RFn,2,530,TA,TA
124,Attchd,1979,Unf,2,435,TA,TA
125,No,,No,0,0,No,No
126,Attchd,1977,RFn,2,440,TA,TA
127,No,,No,0,0,No,No
128,Attchd,1966,RFn,2,453,TA,TA
129,2Types,1998,RFn,2,750,TA,TA
130,Attchd,1966,Fin,2,487,TA,TA
131,BuiltIn,2000,RFn,2,390,TA,TA
132,Detchd,1974,Unf,2,624,TA,TA
133,Attchd,2001,Fin,2,471,TA,TA
134,Attchd,1968,RFn,2,440,TA,TA
135,Attchd,1970,Unf,2,530,TA,TA
136,Attchd,1967,RFn,1,318,TA,TA
137,2Types,1989,Unf,3,766,TA,TA
138,Attchd,1999,Fin,3,660,TA,TA
139,Attchd,1997,RFn,2,470,TA,TA
140,No,,No,0,0,No,No
141,Attchd,2005,Fin,2,660,TA,TA
142,Detchd,2000,Unf,2,720,TA,TA
143,Attchd,1999,RFn,2,577,TA,TA
144,Detchd,1963,Unf,2,504,TA,TA
145,Detchd,2004,Unf,2,380,TA,TA
146,Detchd,1931,Unf,1,180,Fa,TA
147,BuiltIn,2001,Fin,2,434,TA,TA
148,No,,No,0,0,No,No
149,Detchd,1936,Unf,1,240,Fa,TA
150,Attchd,1975,Unf,2,440,TA,TA
151,Attchd,2007,RFn,3,866,TA,TA
152,Attchd,1971,RFn,2,495,TA,TA
153,Attchd,1960,RFn,2,564,TA,TA
154,Detchd,1923,Unf,1,312,Fa,Fa
155,No,,No,0,0,No,No
156,Detchd,1950,Unf,2,625,TA,TA
157,BuiltIn,2009,Fin,3,680,TA,TA
158,Attchd,2004,RFn,2,678,TA,TA
159,Attchd,2006,RFn,2,576,TA,TA
160,Attchd,1984,Unf,2,516,TA,TA
161,BuiltIn,2003,Fin,3,726,TA,TA
162,Attchd,2005,RFn,2,532,TA,TA
163,No,,No,0,0,No,No
164,Detchd,1926,Unf,1,216,TA,TA
165,No,,No,0,0,No,No
166,Attchd,1955,Fin,1,303,TA,TA
167,Attchd,2007,Fin,3,789,TA,TA
168,Attchd,2004,Fin,2,440,TA,TA
169,Attchd,1981,RFn,2,511,TA,TA
170,Detchd,1991,Unf,2,660,TA,TA
171,Attchd,1960,Fin,2,528,TA,TA
172,Attchd,1987,RFn,2,504,Gd,TA
173,Attchd,1961,Unf,2,504,TA,TA
174,Attchd,1986,Fin,2,616,TA,TA
175,Attchd,1950,Unf,2,576,TA,TA
176,Attchd,1988,Unf,2,521,TA,TA
177,Attchd,1958,Unf,2,451,TA,TA
178,Attchd,2009,Fin,3,1166,TA,TA
179,Detchd,1935,Unf,2,480,Fa,TA
180,Detchd,2000,Unf,2,440,TA,TA
181,Detchd,1920,Unf,1,216,Fa,TA
182,Attchd,1957,RFn,1,252,TA,TA
183,Detchd,2003,Unf,2,484,TA,TA
184,Attchd,1986,Unf,2,576,TA,TA
185,Detchd,1993,Unf,3,840,Ex,TA
186,Attchd,1990,Unf,2,497,TA,TA
187,Detchd,1916,Unf,1,180,Fa,Fa
188,Detchd,1979,Unf,2,528,TA,TA
189,Attchd,2001,Fin,2,682,TA,TA
190,Detchd,1932,Unf,2,440,TA,TA
191,Attchd,1972,Fin,2,484,TA,TA
192,Attchd,1999,Fin,2,666,TA,TA
193,Detchd,2004,Unf,2,380,TA,TA
194,Detchd,1989,Unf,1,352,TA,TA
195,Attchd,1976,Unf,2,440,TA,TA
196,Attchd,2007,Fin,3,786,TA,TA
197,Detchd,1918,Unf,2,795,TA,TA
198,No,,No,0,0,No,No
199,Attchd,2004,Fin,3,856,TA,TA
200,Attchd,2003,RFn,2,440,TA,TA
201,Detchd,1980,Unf,2,473,TA,TA
202,Attchd,1924,Unf,1,398,TA,TA
203,Attchd,2004,RFn,2,420,TA,TA
204,Detchd,1948,Unf,1,240,TA,TA
205,Attchd,1990,RFn,2,500,TA,TA
206,Attchd,1962,RFn,1,349,TA,TA
207,Attchd,1960,RFn,1,312,TA,TA
208,Attchd,1988,Fin,2,454,TA,TA
209,Attchd,1964,RFn,2,504,TA,Gd
210,No,,No,0,0,No,No
211,Attchd,2009,RFn,2,460,TA,TA
212,Attchd,2009,RFn,2,644,TA,TA
213,Attchd,1996,Unf,2,576,TA,TA
214,Attchd,1977,Fin,1,299,TA,TA
215,Attchd,1957,Unf,1,447,TA,TA
216,Attchd,2004,Unf,2,484,TA,TA
217,Detchd,1940,Unf,1,210,TA,TA
218,Attchd,1939,Unf,2,431,TA,TA
219,Attchd,2005,Fin,2,438,TA,TA
220,Attchd,2006,RFn,2,675,TA,TA
221,BuiltIn,2002,RFn,2,390,TA,TA
222,Attchd,1975,RFn,2,434,TA,TA
223,Detchd,1989,Unf,2,576,TA,TA
224,Attchd,2003,Fin,3,968,TA,TA
225,Detchd,1991,Unf,1,280,TA,TA
226,Attchd,1995,RFn,3,721,TA,TA
227,Detchd,1987,Unf,1,280,TA,TA
228,Detchd,1974,Unf,1,336,TA,TA
229,Attchd,2005,Fin,2,430,TA,TA
230,Attchd,1959,RFn,1,312,TA,TA
231,Attchd,1995,Fin,3,810,TA,TA
232,Attchd,1972,Unf,1,288,TA,TA
233,Attchd,1976,Unf,1,308,TA,TA
234,BuiltIn,2002,Fin,2,440,TA,TA
235,Detchd,1971,Unf,1,264,TA,TA
236,Attchd,2004,RFn,2,494,TA,TA
237,Attchd,1993,RFn,2,457,TA,TA
238,Attchd,2007,Fin,3,818,TA,TA
239,Detchd,1949,Unf,1,220,TA,TA
240,Attchd,2008,RFn,2,750,TA,TA
241,No,,No,0,0,No,No
242,Attchd,1940,Unf,1,352,Fa,TA
243,Attchd,1980,RFn,1,288,TA,TA
244,Attchd,1994,RFn,2,463,TA,TA
245,Attchd,1988,Fin,2,604,TA,TA
246,Detchd,1910,Unf,1,440,Po,Po
247,Attchd,1954,Unf,2,451,TA,TA
248,Attchd,2003,RFn,2,500,TA,TA
249,Attchd,1958,Fin,2,389,TA,TA
250,No,,No,0,0,No,No
251,Attchd,2006,Fin,2,538,TA,TA
252,Attchd,2004,RFn,2,520,TA,TA
253,Attchd,1964,RFn,1,309,TA,TA
254,Attchd,1957,RFn,1,294,TA,TA
255,BuiltIn,1999,Fin,2,429,TA,TA
256,Attchd,2003,RFn,2,673,TA,TA
257,Attchd,2006,RFn,2,660,TA,TA
258,Attchd,2001,RFn,2,564,TA,TA
259,Detchd,1956,Unf,1,308,TA,TA
260,Attchd,1991,Unf,2,884,TA,TA
261,BuiltIn,2007,Fin,3,868,TA,TA
262,Attchd,1978,Unf,2,492,TA,TA
263,Detchd,1974,Unf,2,484,TA,TA
264,Detchd,1965,Unf,2,504,TA,TA
265,Attchd,1981,Fin,2,576,TA,TA
266,Attchd,1997,Fin,2,413,TA,TA
267,Detchd,1939,Unf,1,240,TA,TA
268,Detchd,1966,Fin,1,924,Ex,Ex
269,Attchd,1987,RFn,1,504,TA,Gd
270,Attchd,2006,RFn,3,1053,TA,TA
271,Attchd,1954,Unf,2,439,TA,TA
272,Attchd,1999,Fin,3,671,TA,TA
273,Attchd,1958,RFn,1,338,TA,TA
274,Attchd,1982,Unf,1,264,TA,TA
275,Detchd,1978,Unf,2,672,TA,TA
276,Attchd,2003,Fin,2,573,TA,TA
277,Detchd,1951,Unf,2,400,TA,TA
278,Attchd,2007,Fin,3,732,TA,TA
279,Attchd,1977,Fin,2,505,TA,TA
280,Attchd,1989,Fin,2,575,TA,TA
281,Attchd,2006,Fin,2,572,TA,TA
282,Attchd,2008,RFn,2,626,TA,TA
283,Attchd,2008,Fin,3,898,TA,TA
284,Attchd,1992,RFn,2,529,TA,TA
285,Detchd,2006,RFn,2,528,TA,TA
286,Attchd,1962,RFn,2,440,TA,TA
287,No,,No,0,0,No,No
288,Detchd,1970,Unf,1,280,TA,TA
289,Detchd,2003,Unf,1,384,TA,TA
290,Attchd,2006,RFn,2,685,Gd,TA
291,No,,No,0,0,No,No
292,Attchd,1949,Unf,1,281,TA,TA
293,Attchd,1977,Fin,2,539,TA,TA
294,Attchd,1953,Fin,2,418,TA,TA
295,Detchd,1984,Unf,2,588,TA,TA
296,Attchd,1950,Unf,1,282,TA,TA
297,Detchd,1997,RFn,2,576,TA,TA
298,Attchd,1968,Unf,2,539,TA,TA
299,Attchd,1950,Unf,1,300,TA,TA
300,Attchd,1953,Unf,1,375,TA,TA
301,BuiltIn,1998,Fin,2,683,TA,TA
302,Attchd,2001,RFn,3,843,TA,TA
303,Attchd,1975,Unf,2,552,TA,TA
304,Attchd,2003,Unf,3,870,TA,TA
305,Attchd,2004,Fin,3,888,TA,TA
306,Attchd,1990,RFn,3,746,TA,TA
307,No,,No,0,0,No,No
308,Detchd,1961,Unf,2,539,TA,TA
309,Attchd,2003,Fin,3,708,TA,TA
310,Attchd,1993,Fin,2,420,TA,TA
311,Detchd,1948,Unf,1,240,TA,TA
312,Detchd,1939,Unf,2,410,TA,TA
313,Attchd,1965,RFn,2,513,TA,TA
314,Detchd,1925,Unf,2,546,Fa,TA
315,Attchd,2004,Fin,2,432,TA,TA
316,Attchd,1983,RFn,2,484,TA,TA
317,Attchd,2006,RFn,3,1025,TA,TA
318,Attchd,1993,RFn,3,656,TA,TA
319,Attchd,1980,Unf,2,588,TA,TA
320,Attchd,2006,RFn,3,840,TA,TA
321,BuiltIn,2004,Fin,3,872,TA,TA
322,Attchd,1987,Fin,2,576,TA,TA
323,Attchd,1955,Unf,1,220,Fa,TA
324,BuiltIn,1961,Fin,2,564,TA,TA
325,Detchd,1941,Unf,2,360,TA,TA
326,Attchd,1993,Fin,2,473,TA,TA
327,Attchd,1960,RFn,1,292,TA,TA
328,Detchd,1930,Unf,2,441,TA,TA
329,Detchd,1920,Unf,1,189,Fa,Fa
330,Detchd,2002,Unf,1,352,TA,TA
331,Attchd,1958,RFn,1,308,TA,TA
332,Attchd,2003,RFn,3,880,TA,TA
333,Attchd,2004,RFn,2,484,TA,TA
334,Attchd,1998,Fin,2,472,TA,TA
335,Attchd,1965,Fin,2,529,TA,TA
336,Attchd,2005,Fin,3,676,TA,TA
337,Attchd,2002,RFn,2,532,TA,TA
338,Attchd,1984,RFn,2,440,TA,TA
339,Attchd,1958,Unf,1,297,TA,TA
340,Attchd,2002,Fin,2,431,TA,TA
341,CarPort,1950,Unf,1,294,TA,TA
342,Detchd,1949,Unf,2,400,TA,TA
343,Attchd,2005,RFn,2,564,TA,TA
344,Attchd,1976,Unf,1,336,TA,TA
345,Detchd,1939,Unf,1,312,TA,TA
346,Attchd,1960,RFn,1,301,TA,TA
347,Attchd,1960,Unf,2,498,TA,TA
348,BuiltIn,2003,RFn,2,474,TA,TA
349,Attchd,2006,Fin,3,706,TA,TA
350,Attchd,2007,RFn,2,617,TA,TA
351,Attchd,1986,RFn,2,445,TA,TA
352,Detchd,1941,Unf,1,200,TA,Fa
353,Detchd,2005,Unf,2,484,TA,TA
354,Attchd,1940,Unf,1,240,TA,TA
355,Attchd,1995,RFn,2,521,TA,TA
356,Attchd,1992,RFn,2,400,TA,TA
357,Attchd,1976,Fin,2,528,TA,TA
358,BuiltIn,1958,Unf,1,288,TA,TA
359,Attchd,1998,RFn,2,592,TA,TA
360,Attchd,1978,RFn,2,470,TA,TA
361,Detchd,1940,Unf,1,240,TA,TA
362,BuiltIn,2003,RFn,2,672,TA,TA
363,Detchd,1972,Unf,1,264,TA,TA
364,Attchd,1976,Fin,2,566,TA,TA
365,Detchd,1964,Unf,1,468,TA,Fa
366,Attchd,1963,RFn,2,514,TA,TA
367,Basment,1962,RFn,1,296,TA,TA
368,Attchd,1954,Fin,1,244,TA,TA
369,Detchd,1997,Fin,2,576,TA,TA
370,Attchd,2000,RFn,2,460,TA,TA
371,Detchd,1991,Fin,2,680,TA,TA
372,Attchd,1984,Unf,1,264,TA,TA
373,Attchd,1953,Unf,1,270,TA,TA
374,BuiltIn,2003,Fin,2,434,TA,TA
375,No,,No,0,0,No,No
376,Detchd,1998,Unf,2,576,TA,TA
377,Attchd,2004,RFn,2,610,TA,TA
378,Attchd,2010,Fin,3,834,TA,TA
379,Attchd,2000,Fin,2,463,TA,TA
380,Detchd,1924,Unf,1,308,TA,TA
381,Attchd,2006,RFn,2,572,TA,TA
382,Attchd,2006,RFn,2,639,TA,TA
383,Detchd,1950,Unf,2,360,Fa,Fa
384,Attchd,1992,Fin,2,501,TA,TA
385,Attchd,2004,Fin,2,430,TA,TA
386,No,,No,0,0,No,No
387,Detchd,1977,Unf,1,352,TA,TA
388,Attchd,1999,RFn,2,577,TA,TA
389,BuiltIn,2008,Fin,3,846,TA,TA
390,Detchd,1978,Unf,1,384,TA,TA
391,BuiltIn,2001,Fin,2,560,TA,TA
392,Attchd,1959,RFn,1,294,TA,TA
393,No,,No,0,0,No,No
394,Detchd,1940,Unf,1,240,TA,TA
395,Attchd,1956,Unf,1,596,TA,TA
396,Detchd,1985,RFn,2,600,TA,TA
397,Attchd,1962,RFn,1,264,TA,TA
398,Detchd,1920,Unf,1,338,Po,Po
399,Attchd,2007,Fin,2,438,TA,TA
400,Attchd,1996,Fin,2,500,TA,TA
401,Attchd,2005,Fin,2,400,TA,TA
402,Detchd,1940,Unf,1,240,TA,TA
403,BuiltIn,1998,Fin,2,420,TA,TA
404,BuiltIn,1995,Fin,2,373,TA,TA
405,Attchd,1993,Unf,2,490,TA,TA
406,Detchd,1936,Unf,1,240,TA,TA
407,Attchd,1960,Unf,1,308,TA,TA
408,Attchd,2006,RFn,3,947,TA,TA
409,Attchd,2008,Fin,3,836,TA,TA
410,Attchd,1958,Unf,1,350,TA,TA
411,Attchd,1955,Fin,2,572,TA,TA
412,Attchd,2009,Fin,2,484,TA,TA
413,Detchd,1927,Unf,2,360,TA,TA
414,Attchd,1993,Unf,3,678,TA,TA
415,Attchd,2007,Fin,2,396,TA,TA
416,Attchd,1978,Fin,2,440,TA,TA
417,Detchd,1918,Unf,3,864,TA,TA
418,Detchd,1940,Unf,1,240,TA,TA
419,Attchd,1968,Unf,1,304,TA,TA
420,Attchd,1997,Fin,4,784,TA,TA
421,Attchd,1977,Fin,2,529,TA,TA
422,Attchd,1954,RFn,2,520,TA,TA
423,Attchd,1998,Fin,3,696,TA,TA
424,Attchd,1956,RFn,1,297,TA,TA
425,Detchd,1947,Unf,1,240,TA,TA
426,Attchd,1989,Fin,2,569,TA,TA
427,Detchd,1964,Unf,1,352,TA,TA
428,Attchd,2007,RFn,2,628,TA,TA
429,Attchd,1988,Unf,2,576,TA,TA
430,Detchd,1971,Unf,1,264,TA,TA
431,No,,No,0,0,No,No
432,Detchd,1971,Unf,2,440,TA,TA
433,Attchd,1997,Fin,2,470,TA,TA
434,No,,No,0,0,No,No
435,Attchd,1996,RFn,2,550,TA,TA
436,Detchd,1990,Unf,2,440,TA,TA
437,Detchd,1926,Unf,1,180,TA,TA
438,Detchd,1990,Unf,1,352,Gd,TA
439,Detchd,2005,Unf,2,528,TA,TA
440,Attchd,2008,Fin,3,672,TA,TA
441,No,,No,0,0,No,No
442,Detchd,1930,Unf,2,360,TA,TA
443,Attchd,2007,Fin,3,648,TA,TA
444,Attchd,1994,Unf,2,493,TA,TA
445,Attchd,1956,Unf,2,480,TA,TA
446,Attchd,1966,Fin,2,578,TA,TA
447,Attchd,1998,Fin,2,431,TA,TA
448,Detchd,1937,Unf,1,198,TA,TA
449,Detchd,1981,Unf,1,308,TA,TA
450,Detchd,1932,Unf,1,270,Fa,Fa
451,Attchd,1975,Unf,2,576,TA,TA
452,Attchd,1996,Fin,2,422,TA,TA
453,Attchd,2008,RFn,2,676,TA,TA
454,Detchd,1976,Unf,2,560,TA,TA
455,Attchd,1973,Unf,2,528,TA,TA
456,Detchd,1916,Unf,3,513,Fa,Fa
457,Attchd,1954,Fin,2,529,TA,TA
458,Detchd,1925,Unf,1,228,TA,TA
459,Detchd,1950,Unf,1,352,TA,TA
460,BuiltIn,2009,Fin,2,552,TA,TA
461,Detchd,1971,RFn,2,576,TA,TA
462,Detchd,1965,Unf,1,360,TA,TA
463,Detchd,1939,Unf,1,240,TA,TA
464,No,,No,0,0,No,No
465,Attchd,2004,Fin,2,398,TA,TA
466,Attchd,1970,Unf,2,526,TA,TA
467,Attchd,1942,Unf,1,312,TA,TA
468,Attchd,2006,RFn,3,866,TA,TA
469,Attchd,1993,RFn,2,506,TA,TA
470,Attchd,1985,RFn,2,528,TA,TA
471,Attchd,1977,RFn,2,534,TA,TA
472,Basment,2005,RFn,2,525,TA,TA
473,Attchd,2006,RFn,3,908,TA,TA
474,Attchd,2000,RFn,2,499,TA,TA
475,Detchd,1996,Unf,2,624,TA,TA
476,Attchd,1997,Fin,2,508,TA,TA
477,BuiltIn,2006,Fin,3,694,TA,TA
478,Attchd,2007,RFn,3,826,TA,TA
479,Detchd,1995,Unf,2,672,TA,TA
480,Attchd,2004,Fin,3,772,TA,TA
481,Attchd,2003,Fin,3,874,TA,TA
482,Attchd,1915,Unf,1,164,Fa,Fa
483,Attchd,1998,Unf,2,402,TA,TA
484,Detchd,1963,Unf,1,264,TA,TA
485,Attchd,1950,Unf,1,264,TA,TA
486,Attchd,1965,RFn,2,515,TA,TA
487,Attchd,1971,Unf,2,487,TA,TA
488,Attchd,1970,Unf,2,520,TA,Fa
489,Attchd,1970,Unf,1,286,TA,TA
490,BuiltIn,1976,Fin,1,336,TA,TA
491,Attchd,1941,Unf,1,240,TA,TA
492,Attchd,2006,RFn,2,429,TA,TA
493,Detchd,1964,Unf,1,308,TA,TA
494,Attchd,1938,Unf,1,273,TA,TA
495,No,,No,0,0,No,No
496,Attchd,1992,RFn,2,546,TA,TA
497,Detchd,1925,Unf,1,240,TA,TA
498,Attchd,1967,Fin,1,288,TA,TA
499,Attchd,1958,Fin,1,297,TA,TA
500,Detchd,1973,Unf,1,264,TA,TA
501,Attchd,2005,RFn,2,603,TA,TA
502,Detchd,1965,Unf,2,461,Fa,Fa
503,Attchd,1959,Fin,2,484,TA,TA
504,Attchd,1974,Unf,2,440,TA,TA
505,Detchd,1952,Unf,2,400,TA,TA
506,Attchd,1993,RFn,2,471,TA,TA
507,Attchd,2009,Fin,2,676,TA,TA
508,Detchd,1928,Unf,2,360,TA,TA
509,Attchd,1959,RFn,1,270,TA,TA
510,CarPort,1951,Unf,1,288,TA,TA
511,Attchd,2005,RFn,2,474,TA,TA
512,Detchd,1964,Unf,2,624,TA,TA
513,Attchd,1983,Unf,2,484,TA,TA
514,Detchd,1926,Unf,1,200,Po,Po
515,Attchd,2009,Fin,3,900,TA,TA
516,Attchd,1972,RFn,2,583,TA,TA
517,Attchd,1996,RFn,3,889,TA,TA
518,Attchd,1998,RFn,2,546,TA,TA
519,Detchd,1926,Unf,1,282,TA,TA
520,No,,No,0,0,No,No
521,Attchd,1957,Unf,1,336,TA,TA
522,Detchd,1950,Unf,2,420,TA,TA
523,BuiltIn,2007,Fin,3,884,TA,TA
524,Attchd,1996,Fin,3,834,TA,TA
525,Attchd,2005,Unf,2,453,TA,TA
526,Attchd,1956,Unf,1,252,TA,TA
527,Attchd,2008,Fin,3,858,TA,TA
528,No,,No,0,0,No,No
529,Attchd,1975,RFn,2,484,TA,TA
530,Attchd,1988,RFn,2,600,TA,TA
531,Detchd,1920,Fin,2,502,TA,Fa
532,Detchd,1967,Unf,1,392,TA,TA
533,No,,No,0,0,No,No
534,Attchd,2004,Fin,2,403,TA,TA
535,No,,No,0,0,No,No
536,Attchd,1998,Fin,2,527,TA,TA
537,Detchd,1980,Unf,2,576,TA,TA
538,Attchd,1968,Unf,1,336,TA,TA
539,Attchd,2001,RFn,2,670,TA,TA
540,Attchd,2006,Fin,3,765,TA,TA
541,BuiltIn,2000,Fin,3,648,TA,TA
542,Attchd,1998,Fin,2,583,TA,TA
543,Attchd,1998,Fin,1,367,TA,TA
544,Attchd,2006,RFn,2,426,TA,TA
545,Attchd,1988,Unf,3,786,TA,TA
546,Detchd,1950,Unf,2,440,TA,TA
547,Detchd,1987,Unf,2,624,TA,TA
548,Detchd,1963,RFn,2,720,TA,TA
549,BuiltIn,2003,Fin,2,615,TA,TA
550,Attchd,1977,RFn,2,440,TA,TA
551,Attchd,1957,Fin,1,288,TA,TA
552,Attchd,2006,RFn,3,908,TA,TA
553,Detchd,2002,Fin,2,520,TA,TA
554,BuiltIn,2003,RFn,3,871,TA,TA
555,Detchd,1922,Unf,1,280,TA,TA
556,Attchd,1957,Fin,1,299,TA,TA
557,CarPort,1994,Unf,1,570,TA,TA
558,Attchd,1996,Unf,2,406,TA,TA
559,Attchd,2003,Fin,2,420,TA,TA
560,Detchd,1957,Unf,2,528,TA,TA
561,Attchd,1975,RFn,2,418,TA,TA
562,No,,No,0,0,No,No
563,Detchd,1955,Fin,2,396,TA,TA
564,Attchd,1992,RFn,2,590,TA,TA
565,Detchd,1920,Unf,1,216,TA,TA
566,BuiltIn,2005,Fin,3,656,TA,TA
567,Attchd,2004,RFn,2,532,TA,TA
568,BuiltIn,1983,Fin,2,612,Gd,TA
569,Detchd,1979,Unf,2,600,TA,TA
570,Detchd,1987,Unf,2,576,TA,TA
571,Attchd,1959,Unf,1,288,TA,TA
572,Attchd,2009,RFn,2,650,TA,TA
573,BuiltIn,2000,RFn,2,400,TA,TA
574,BuiltIn,1971,Unf,1,288,TA,TA
575,Detchd,1947,Unf,1,336,TA,TA
576,Detchd,1928,Unf,1,216,TA,TA
577,Attchd,1966,RFn,2,564,TA,TA
578,Detchd,2007,Unf,2,540,TA,TA
579,Attchd,1954,Unf,1,352,Fa,TA
580,Attchd,1960,Unf,2,572,TA,TA
581,Attchd,2009,RFn,3,1390,TA,TA
582,No,,No,0,0,No,No
583,Detchd,1988,Unf,2,880,Gd,TA
584,Detchd,1935,Unf,1,240,TA,TA
585,Attchd,2005,RFn,3,880,TA,TA
