Property_Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2
36,SC20,RL,112,10859,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm
37,SC20,RL,74,8532,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
38,SC20,RL,68,7922,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
39,SC90,RL,65,6040,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm
40,SC20,RL,84,8658,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
41,SC20,RL,115,16905,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm
42,SC85,RL,0,9180,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm
43,SC20,RL,0,9200,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm
44,SC20,RL,70,7945,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
45,SC120,RL,61,7658,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
46,SC50,RL,48,12822,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm
47,SC20,FV,84,11096,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
48,SC190,RM,33,4456,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
49,SC20,RL,66,7742,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
50,SC60,RL,0,13869,Pave,None,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm
51,SC50,RM,52,6240,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm
52,SC90,RM,110,8472,Grvl,None,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm
53,SC20,RL,68,50271,Pave,None,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm
54,SC80,RL,60,7134,Pave,None,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm
55,SC20,RL,100,10175,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
56,SC160,FV,24,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
57,SC60,RL,89,11645,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm
58,SC60,RL,66,13682,Pave,None,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm
59,SC20,RL,60,7200,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm
60,SC20,RL,63,13072,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm
61,SC75,RM,60,7200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm
62,SC120,RL,44,6442,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
63,SC70,RM,50,10300,Pave,None,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,Feedr
64,SC60,RL,0,9375,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
65,SC60,RL,76,9591,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
66,SC20,RL,0,19900,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosA,Norm
67,SC20,RL,72,10665,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
68,SC30,RM,47,4608,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm
69,SC50,RL,81,15593,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm
70,SC20,RL,95,13651,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
71,SC20,RL,69,7599,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm
72,SC60,RL,74,10141,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm
73,SC20,RL,85,10200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
74,SC50,RM,60,5790,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm
75,SC180,RM,21,1596,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm
76,SC20,RL,0,8475,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
77,SC50,RM,50,8635,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm
78,SC90,RL,72,10778,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
79,SC50,RM,60,10440,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm
80,SC60,RL,100,13000,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
81,SC120,RM,32,4500,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm
82,SC20,RL,78,10206,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
83,SC20,RL,80,8892,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
84,SC80,RL,0,8530,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm
85,SC60,RL,121,16059,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm
86,SC60,RL,122,11911,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm
87,SC160,FV,40,3951,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm
88,SC50,C (all),105,8470,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,IDOTRR,Feedr,Feedr
89,SC20,RL,60,8070,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
90,SC20,RL,60,7200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
91,SC20,RL,85,8500,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
92,SC30,RL,80,13360,Pave,Grvl,IR1,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm
93,SC190,C (all),60,7200,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm
94,SC60,RL,69,9337,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
95,SC60,RL,0,9765,Pave,None,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm
96,SC20,RL,78,10264,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
97,SC20,RL,73,10921,Pave,None,Reg,HLS,AllPub,Inside,Gtl,Edwards,Norm,Norm
98,SC30,RL,85,10625,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm
99,SC20,RL,77,9320,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
100,SC20,RL,0,10603,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm
101,SC60,RL,77,9206,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm
102,SC90,RL,64,7018,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm
103,SC20,RL,94,10402,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm
104,SC50,RM,0,7758,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm
105,SC60,FV,75,9375,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
106,SC30,RM,60,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
107,SC20,RM,50,6000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
108,SC50,RM,85,8500,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Artery,Norm
109,SC20,RL,105,11751,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm
110,SC50,RL,75,9525,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm
111,SC80,RL,0,7750,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm
112,SC60,RL,77,9965,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
113,SC20,RL,0,21000,Pave,None,Reg,Bnk,AllPub,Corner,Gtl,Crawfor,Norm,Norm
114,SC70,RL,61,7259,Pave,None,IR1,Lvl,AllPub,Inside,Mod,Crawfor,Norm,Norm
115,SC160,FV,34,3230,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm
116,SC20,RL,0,11616,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
117,SC20,RL,74,8536,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm
118,SC60,RL,90,12376,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm
119,SC60,RL,65,8461,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
120,SC80,RL,0,21453,Pave,None,IR1,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm
121,SC50,RM,50,6060,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm
122,SC20,RL,75,9464,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
123,SC120,RL,55,7892,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm
124,SC20,RL,48,17043,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm
125,SC190,RM,60,6780,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm
126,SC120,RL,0,4928,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm
127,SC45,RM,55,4388,Pave,None,IR1,Bnk,AllPub,Inside,Gtl,OldTown,Feedr,Norm
128,SC60,RL,69,7590,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm
129,SC20,RL,69,8973,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
130,SC60,RL,88,14200,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
131,SC60,RL,0,12224,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm
132,SC20,RL,75,7388,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
133,SC20,RL,0,6853,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm
134,SC20,RL,78,10335,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
135,SC20,RL,80,10400,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm
136,SC20,RL,0,10355,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
137,SC90,RL,82,11070,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm
138,SC60,RL,73,9066,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
139,SC60,RL,65,15426,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
140,SC20,RL,70,10500,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm
141,SC20,RL,78,11645,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
142,SC50,RL,71,8520,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm
143,SC20,RL,78,10335,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
144,SC90,RM,70,9100,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm
145,SC160,RM,24,2522,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm
146,SC30,RM,51,6120,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm
147,SC60,RL,0,9505,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm
148,SC20,RL,63,7500,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm
149,SC50,RM,0,6240,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm
150,SC20,RL,120,10356,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm
151,SC20,RL,107,13891,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
152,SC60,RL,0,14803,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm
153,SC20,RL,0,13500,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm
154,SC30,RM,84,11340,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm
155,SC50,RL,60,9600,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Artery,Norm
156,SC20,RL,60,7200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
157,SC60,RL,92,12003,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm
158,SC60,FV,100,12552,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm
159,SC60,RL,134,19378,Pave,None,IR1,HLS,AllPub,Corner,Gtl,Gilbert,Norm,Norm
160,SC20,RL,0,11120,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm
161,SC60,RL,110,13688,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
162,SC20,RL,95,12182,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm
163,SC45,RL,55,5500,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
164,SC40,RM,40,5400,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm
165,SC190,RL,62,10106,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm
166,SC20,RL,0,10708,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm
167,SC60,RL,86,10562,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
168,SC60,RL,62,8244,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm
169,SC20,RL,0,16669,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm
170,SC50,RM,0,12358,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Feedr,Norm
171,SC20,RL,141,31770,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
172,SC160,RL,44,5306,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm
173,SC20,RL,80,10197,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
174,SC20,RL,47,12416,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm
175,SC20,RL,84,12615,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm
176,SC60,RL,97,10029,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm
177,SC50,RL,0,13650,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
178,SC20,RL,63,17423,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm
179,SC30,RM,60,8520,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
180,SC160,FV,0,2117,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
181,SC70,RL,54,7588,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm
182,SC20,RL,60,9060,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm
183,SC50,RM,63,11426,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
184,SC50,RL,92,7438,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Feedr
185,SC75,RM,90,22950,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm
186,SC80,RL,0,9947,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm
187,SC50,RL,60,10410,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
188,SC90,RL,64,7018,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Feedr,Norm
189,SC120,RL,41,4923,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm
190,SC70,RL,70,10570,Pave,None,Reg,Bnk,AllPub,Inside,Mod,Crawfor,Norm,Norm
191,SC60,RL,0,7472,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm
192,SC20,RL,68,9017,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
193,SC160,RM,24,2522,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm
194,SC20,RL,60,7180,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
195,SC160,RL,24,2280,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm
196,SC20,RL,79,9416,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
197,SC75,RL,174,25419,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm
198,SC75,RM,92,5520,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm
199,SC20,RL,76,9591,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
200,SC20,RM,80,8546,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm
201,SC20,RL,75,10125,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm
202,SC50,RL,50,7000,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm
203,SC120,RM,0,4438,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
204,SC50,RM,50,3500,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
205,SC20,RL,99,11851,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm
206,SC20,RL,40,13673,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm
207,SC20,RL,0,12493,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
208,SC60,RL,0,14364,Pave,None,IR1,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm
209,SC20,RL,75,8250,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
210,SC30,RL,67,5604,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm
211,SC20,RL,83,10420,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm
212,SC60,FV,72,8640,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
213,SC20,RL,43,13568,Pave,None,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm
214,SC60,RL,0,10900,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm
215,SC20,RL,72,10011,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
216,SC20,RL,65,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
217,SC70,RM,57,9906,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
218,SC50,RL,0,15660,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm
219,SC120,RL,43,3010,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm
220,SC20,RL,73,8990,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
221,SC60,RL,0,8068,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm
222,SC60,RL,85,11475,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm
223,SC20,RL,70,10500,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm
224,SC20,RL,103,13472,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
225,SC160,RM,21,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm
226,SC60,RL,82,9950,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm
227,SC160,RM,21,1869,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm
228,SC20,RL,70,8521,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Sawyer,Feedr,Norm
229,SC120,RL,43,3182,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm
230,SC20,RL,73,8760,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
231,SC60,RL,174,15138,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm
232,SC160,RM,21,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm
233,SC20,RL,75,10650,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm
234,SC60,RL,0,7851,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm
235,SC160,RM,21,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm
236,SC20,RL,65,8773,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm
237,SC60,RL,0,9453,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,RRNe,Norm
238,SC20,RL,93,12030,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
239,SC50,RL,52,8741,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm
240,SC20,FV,75,9000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
241,SC30,RM,40,3880,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
242,SC50,RM,63,5000,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm
